Question;Option A;Option B;Option C;Option D;Answer;Annex;;;;
The thickness of the wing is defined as the distance between the lower and the upper side of the wing at the...;most inner part of the wing.;thinnest part of the wing.;thickest part of the wing.;most outer part of the wing.;thickest part of the wing.;;;;;
How is referred to a tubular steel construction with a non self-supporting skin?;Semi-monocoque construction.;Grid construction;Honeycomb structure;Monocoque construction;Grid construction;;;;;
Primary fuselage structures of wood or metal planes are usually made up by what components?;Girders, rips and stringers;Frames and stringer;Rips, frames and covers;Covers, stringers and forming parts;Frames and stringer;;;;;
Which wing configuration is shown in the attachment? See figure (AGK-002);Strut-braced high wing;High wing;Mid wing;Low wing;Strut-braced high wing;static/images/agk/agk-002.png;;;;
A construction made of frames and stringer with a supporting skin is called...;Honeycomb structure.;Grid construction.;Wood- or mixed construction.;Semi-monocoque construction.;Semi-monocoque construction.;;;;;
Which tail assembly is shown in the attachment? See figure (AGK-003);V-tail;T-tail;Fuselage-mounted tail;Cruciform tail;T-tail;static/images/agk/agk-003.png;;;;
What are the major components of an aircraft's tail?;Ailerons and elevator;Horizontal tail and vertical tail;Rudder and ailerons;Steering wheel and pedals;Horizontal tail and vertical tail;;;;;
The sandwich structure consists of two...;thin layers and a light core material.;thin layers and a heavy core material.;thick layers and a heavy core material.;thick layers and a light core material.;thin layers and a light core material.;;;;;
Which constructional elements give the wing its profile shape?;Rips;Planking;Spar;Tip;Rips;;;;;
"The load factor ""n"" describes the relationship between...";thrust and drag.;drag and lift.;lift and weight.;weight and thrust.;lift and weight.;;;;;
Which are the advantages of sandwich structures?;High temperature durability and low weight;Low weight, high stiffness, high stability, and high strength;Good formability and high temperature durability;High strength and good formability;Low weight, high stiffness, high stability, and high strength;;;;;
Which of the stated materials shows the highest strength?;Carbon fiber re-inforced plastic;Aluminium;Wood;Magnesium;Carbon fiber re-inforced plastic;;;;;
What needs to be considered if permissible limitations were exceeded?;The helicopter must be inspected by the pilot in command and if no defect is found, no appropriate entry in the aircraft technical log is necessary;The helicopter must be inspected by at least two pilots licensed on the type, one of whom must be the pilot in command;The helicopter must be inspected by a qualified engineer before the next flight;The helicopter must be subjected to a duplicate inspected by two engineers;The helicopter must be inspected by a qualified engineer before the next flight;;;;;
Reasons for dents in the helicopter structure are...;material defects or old colour.;intense erosion or high wear.;hard landing or excessive stress.;excessive engine rpm and cylinder defects.;hard landing or excessive stress.;;;;;
What kind of hydraulic oil is used in aeroplane systems today?;Mineral oil;Vegetable oil;Bio-oil;Synthetic oil;Synthetic oil;;;;;
Number 1 on the gear designates the... See figure (AGK-005);fork.;strut.;torque link.;inner shock absorber.;fork.;static/images/agk/agk-005.png;;;;
The fuselage structure may be damaged by...;exceeding the manoeuvering speed in heavy gusts.;neutralizing stick forces according to actual flight state.;stall after exceeding the maximum angle of attack.;airspeed decreasing below a certain value.;exceeding the manoeuvering speed in heavy gusts.;;;;;
Number 2 on the gear designates the... See figure (AGK-005);fork.;torque link.;fixed outer cylinder.;movable inner cylinder.;movable inner cylinder.;static/images/agk/agk-005.png;;;;
How is the nose or tail wheel usually controlled on small aircraft and motor gliders?;By the steering wheel;By the control column;By weight movement;By the pedals;By the pedals;;;;;
Where is the brake system installed to slow the aircraft on ground?;On the tail wheel;On the nose and main gear;Only on the nose gear;Only on the main gear;Only on the main gear;;;;;
What kind of control surface is connected with the nose wheel?;Elevator;Trim rudder;Aileron;Rudder;Rudder;;;;;
What is checked by the marking in the attachment? See figure (AGK-006);The tread wear of the tire;The operating pressure of the carcass;The correct postion of the tire relative to the rim;The correct position of the outer isolation layers;The correct postion of the tire relative to the rim;static/images/agk/agk-006.png;;;;
About how many axes does an aircraft move and how are these axes called?;4. optical axis, imaginary axis, sagged axis, axis of evil;4. vertical axis, lateral axis, longitudinal axis, axis of speed;3. x-axis, y-axis, z-axis;3. vertical axis, lateral axis, longitudinal axis;3. vertical axis, lateral axis, longitudinal axis;;3; vertical axis, lateral axis, longitudinal axis;3; vertical axis, lateral axis, longitudinal axis
A movement around the longitudinal axis is primarily initiated by the...;rudder.;ailerons.;elevator.;trim tab.;ailerons.;;;;;
How are the flight controls on a small single-engine piston aircraft normally controlled and actuated?;Power-assisted through hydraulic pumps or electric motors;Hydraulically through hydraulic pumps and actuators;Manually through rods and control cables;Electrically through fly-by-wire;Manually through rods and control cables;;;;;
What are the primary and the secondary effects of a rudder input to the left?;Primary: yaw to the left, Secondary: roll to the right;Primary: yaw to the left, Secondary: roll to the left;Primary: yaw to the right, Secondary: roll to the left;Primary: yaw to the right, Secondary: roll to the right;Primary: yaw to the left, Secondary: roll to the left;;;;;
What is the effect of pulling the control yoke or stick backwards?;The aircraft's tail will produce an increased downward force, causing the aircraft's nose to drop;The aircraft's tail will produce an decreased upward force, causing the aircraft's nose to drop;The aircraft's tail will produce an increased downward force, causing the aircraft's nose to rise;The aircraft's tail will produce an increased upward force, causing the aircraft's nose to rise;The aircraft's tail will produce an increased downward force, causing the aircraft's nose to rise;;;;;
What happens to a helicopter during cruise when the stick is moved forward without other corrections?;The speed increases and the sink rate increases;The speed decreases and the sink rate increases;The speed increases and the sink rate decreases;The speed decreases and the sink rate decreases;The speed increases and the sink rate increases;;;;;
Which of the following options states all primary flight controls of an aircraft?;All movable parts on the aircraft which aid in controlling the aircraft;Flaps, slats, speedbrakes;Elevator, rudder, aileron;Elevator, rudder, aileron, trim tabs, high-lift wing devices, power controls;Elevator, rudder, aileron;;;;;
What is the purpose of the secondary flight controls?;To constitute a backup system for the primary flight controls;To improve the performance characteristics of an aircraft and relieve the pilot of excessive control forces;To improve the turn characteristics of an aircraft in the low speed regime during approach and landing;To enable the pilot to control the aircraft's movements about its three axes;To improve the performance characteristics of an aircraft and relieve the pilot of excessive control forces;;;;;
What is the purpose of a ground adjustable trim tab?;It is set on the ground to correct an out-of-trim condition arising from the mass and balance situation of an aircraft;It is preset on the ground and further adjusted in flight to reduce the need to constantly re-trim the aircraft;It is used to optimize the handling characteristics of an aircraft during ground operations;It is a non-movable metal tab on a flight control which is adjusted on the ground to optimize the inflight characteristics of an aircraft;It is a non-movable metal tab on a flight control which is adjusted on the ground to optimize the inflight characteristics of an aircraft;;;;;
